Timestamp,Status,Current,Total,Progress
2025-02-21 02:58:22,in_progress,93,97,95.88%
2025-02-21 02:58:27,in_progress,93,97,95.88%
2025-02-21 02:58:32,in_progress,93,97,95.88%
2025-02-21 02:58:38,in_progress,93,97,95.88%
2025-02-21 02:58:43,in_progress,93,97,95.88%
2025-02-21 02:58:48,in_progress,93,97,95.88%
2025-02-21 02:58:54,in_progress,96,97,98.97%
2025-02-21 02:58:59,in_progress,96,97,98.97%
2025-02-21 02:59:04,in_progress,96,97,98.97%
2025-02-21 02:59:09,in_progress,96,97,98.97%
2025-02-21 02:59:15,in_progress,96,97,98.97%
2025-02-21 02:59:20,in_progress,96,97,98.97%
2025-02-21 02:59:25,in_progress,96,97,98.97%
2025-02-21 02:59:30,in_progress,96,97,98.97%
2025-02-21 02:59:36,in_progress,96,97,98.97%
2025-02-21 02:59:41,in_progress,96,97,98.97%
2025-02-21 02:59:46,in_progress,96,97,98.97%
2025-02-21 02:59:51,in_progress,96,97,98.97%
2025-02-21 02:59:57,in_progress,96,97,98.97%
2025-02-21 03:00:02,in_progress,96,97,98.97%
2025-02-21 03:00:07,in_progress,96,97,98.97%
2025-02-21 03:00:12,in_progress,96,97,98.97%
2025-02-21 03:00:18,in_progress,96,97,98.97%
2025-02-21 03:00:23,in_progress,96,97,98.97%
2025-02-21 03:00:28,in_progress,96,97,98.97%
2025-02-21 02:59:30,in_progress,96,97,98.97%
2025-02-21 02:59:36,in_progress,96,97,98.97%
2025-02-21 02:59:41,in_progress,96,97,98.97%
2025-02-21 02:59:46,in_progress,96,97,98.97%
2025-02-21 02:59:51,in_progress,96,97,98.97%
2025-02-21 02:59:57,in_progress,96,97,98.97%
2025-02-21 03:00:02,in_progress,96,97,98.97%
2025-02-21 03:00:07,in_progress,96,97,98.97%
2025-02-21 03:00:12,in_progress,96,97,98.97%
2025-02-21 03:00:18,in_progress,96,97,98.97%
2025-02-21 03:00:23,in_progress,96,97,98.97%
2025-02-21 03:00:28,in_progress,96,97,98.97%
2025-02-21 02:59:41,in_progress,96,97,98.97%
2025-02-21 02:59:46,in_progress,96,97,98.97%
2025-02-21 02:59:51,in_progress,96,97,98.97%
2025-02-21 02:59:57,in_progress,96,97,98.97%
2025-02-21 03:00:02,in_progress,96,97,98.97%
2025-02-21 03:00:07,in_progress,96,97,98.97%
2025-02-21 03:00:12,in_progress,96,97,98.97%
2025-02-21 03:00:18,in_progress,96,97,98.97%
2025-02-21 03:00:23,in_progress,96,97,98.97%
2025-02-21 03:00:28,in_progress,96,97,98.97%
